name,city,iata,latitude,longitude
Thyna,Sfax,SFA,34.717953,10.690972
Nefta,Tozeur,TOE,33.939722,8.110556
Niamtougou International,Niatougou,LRL,9.767333,1.09125
Gnassingbe Eyadema Intl,Lome,LFW,6.165611,1.254511
Deurne,Antwerp,ANR,51.189444,4.460278
Beauvechain,Beauvechain,,50.75861,4.768333
Kleine Brogel,Kleine Brogel,,51.168333,5.47
Brussels Natl,Brussels,BRU,50.901389,4.484444
Bertrix,Bertrix,,49.891667,5.223889
Brussels South,Charleroi,CRL,50.459197,4.453817
Chievres Ab,Chievres,,50.575833,3.831
Koksijde,Koksijde,,51.090278,2.652778
Florennes,Florennes,,50.243333,4.645833
Wevelgem,Kortrijk-vevelgem,QKT,50.817222,3.204722
Liege,Liege,LGG,50.637417,5.443222
Oostende,Ostend,OST,51.198889,2.862222
Zutendaal,Zutendaal,,50.9475,5.590556
Sint Truiden,Sint-truiden,,50.791944,5.201667
Saint Hubert Mil,St.-hubert,,50.035833,5.404167
Ursel,Ursel,,51.144133,3.474361
Weelde,Weelde,,51.394783,4.960194
Zoersel,Zoersel,,51.264722,4.753333
Bautzen,Bautzen,BBJ,51.193531,14.519747
Altenburg Nobitz,Altenburg,AOC,50.981817,12.506361
Dessau,Dessau,,51.831828,12.184033
Eisenhuttenstadt,Eisenhuettenstadt,,52.197333,14.585667
Putnam County Airport,Greencastle,4I7,39.6335556,-86.8138056
Grossenhain,Suhl,,51.308111,13.554973
Merseburg,Muehlhausen,,51.363,11.940833
Halle Oppin,Halle,,51.552,12.052667
Riesa Gohlis,Riesa,,51.2935,13.356
Rechlin Larz,Rechlin-laerz,,53.306417,12.753139
Strausberg,Strausberg,,52.579978,13.915683
Schonhagen,Schoenhagen,,52.203258,13.158408
Barth,Barth,BBH,54.33754,12.699705
Jena Schongleina,Jena,,50.915161,11.714519
Kyritz,Kyritz,,52.918833,12.425333
Magdeburg,Magdeburg,,52.073658,11.626467
Rothenburg Gorlitz,Rothenburg/ol,,51.363167,14.95
Anklam,Anklam,,53.8327,13.669131
Cottbus Drewitz,Cottbus,,51.889475,14.531986
Kamenz,Kamenz,,51.29625,14.129
Schonefeld,Berlin,SXF,52.380001,13.5225
Dresden,Dresden,DRS,51.132767,13.767161
Erfurt,Erfurt,ERF,50.979811,10.958106
Frankfurt Main,Frankfurt,FRA,50.026421,8.543125
Munster Osnabruck,Munster,FMO,52.134642,7.684831
Hamburg,Hamburg,HAM,53.630389,9.988228
Tempelhof,Berlin,THF,52.473025,13.403944
Koln Bonn,Cologne,CGN,50.865917,7.142744
Dusseldorf,Duesseldorf,DUS,51.289453,6.766775
Franz Josef Strauss,Munich,MUC,48.353783,11.786086
Nurnberg,Nuernberg,NUE,49.4987,11.066897
